ClientID,age,job,marital,education,default,balance,housing,loan,contact,month,pdays,previous,poutcome,actual_subscription,prediction_probability,prediction_high_precision,prediction_high_recall,prediction_balanced
0,30,unemployed,married,primary,no,1787,no,no,cellular,oct,-1,0,unknown_outcome,No,0.085,No,No,No
1,33,services,married,secondary,no,4789,yes,yes,cellular,may,339,4,failure,No,0.025,No,No,No
2,35,management,single,tertiary,no,1350,yes,no,cellular,apr,330,1,failure,No,0.05,No,No,No
3,30,management,married,tertiary,no,1476,yes,yes,unspecified,jun,-1,0,unknown_outcome,No,0.015,No,No,No
4,59,blue-collar,married,secondary,no,0,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.15,No,Yes,No
5,35,management,single,tertiary,no,747,no,no,cellular,feb,176,3,failure,No,0.05,No,No,No
6,36,self-employed,married,tertiary,no,307,yes,no,cellular,may,330,2,other,No,0.235,No,Yes,No
7,39,technician,married,secondary,no,147,yes,no,cellular,may,-1,0,unknown_outcome,No,0.065,No,No,No
8,41,entrepreneur,married,tertiary,no,221,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.025,No,No,No
9,43,services,married,primary,no,-88,yes,yes,cellular,apr,147,2,failure,No,0.015,No,No,No
10,39,services,married,secondary,no,9374,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.28,No,Yes,No
11,43,admin.,married,secondary,no,264,yes,no,cellular,apr,-1,0,unknown_outcome,No,0.05,No,No,No
12,36,technician,married,tertiary,no,1109,no,no,cellular,aug,-1,0,unknown_outcome,No,0.055,No,No,No
13,20,student,single,secondary,no,502,no,no,cellular,apr,-1,0,unknown_outcome,Yes,0.16,No,Yes,No
14,31,blue-collar,married,secondary,no,360,yes,yes,cellular,jan,241,1,failure,No,0.105,No,No,No
15,40,management,married,tertiary,no,194,no,yes,cellular,aug,-1,0,unknown_outcome,No,0.195,No,Yes,No
16,56,technician,married,secondary,no,4073,no,no,cellular,aug,-1,0,unknown_outcome,No,0.17,No,Yes,No
17,37,admin.,single,tertiary,no,2317,yes,no,cellular,apr,152,2,failure,No,0.025,No,No,No
18,25,blue-collar,single,primary,no,-221,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.225,No,Yes,No
19,31,services,married,secondary,no,132,no,no,cellular,jul,152,1,other,No,0.305,No,Yes,No
20,38,management,divorced,tertiary,no,0,yes,no,cellular,nov,-1,0,unknown_outcome,No,0.005,No,No,No
21,42,management,divorced,tertiary,no,16,no,no,cellular,nov,-1,0,unknown_outcome,No,0.26,No,Yes,No
22,44,services,single,secondary,no,106,no,no,unspecified,jun,-1,0,unknown_outcome,No,0.215,No,Yes,No
23,44,entrepreneur,married,secondary,no,93,no,no,cellular,jul,-1,0,unknown_outcome,No,0.21,No,Yes,No
24,26,housemaid,married,tertiary,no,543,no,no,cellular,jan,-1,0,unknown_outcome,No,0.12,No,Yes,No
25,41,management,married,tertiary,no,5883,no,no,cellular,nov,-1,0,unknown_outcome,No,0.06,No,No,No
26,55,blue-collar,married,primary,no,627,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.02,No,No,No
27,67,retired,married,secondary,no,696,no,no,telephone,aug,105,2,failure,No,0.305,No,Yes,No
28,56,self-employed,married,secondary,no,784,no,yes,cellular,jul,-1,0,unknown_outcome,No,0.245,No,Yes,No
29,53,admin.,married,secondary,no,105,no,yes,cellular,aug,-1,0,unknown_outcome,No,0.3,No,Yes,No
30,68,retired,divorced,secondary,no,4189,no,no,telephone,jul,-1,0,unknown_outcome,Yes,0.32,No,Yes,No
31,31,technician,married,secondary,no,171,no,no,cellular,aug,-1,0,unknown_outcome,No,0.22,No,Yes,No
32,59,management,married,secondary,no,42,no,no,cellular,nov,-1,0,unknown_outcome,No,0.195,No,Yes,No
33,32,management,single,tertiary,no,2536,yes,no,cellular,aug,-1,0,unknown_outcome,Yes,0.355,No,Yes,No
34,49,technician,married,tertiary,no,1235,no,no,cellular,aug,-1,0,unknown_outcome,Yes,0.015,No,No,No
35,42,admin.,divorced,secondary,no,1811,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.07,No,No,No
36,78,retired,divorced,primary,no,229,no,no,telephone,oct,-1,0,unknown_outcome,Yes,0.06,No,No,No
37,32,blue-collar,married,secondary,no,2089,yes,no,cellular,nov,-1,0,unknown_outcome,Yes,0.17,No,Yes,No
38,33,management,married,secondary,no,3935,yes,no,cellular,may,342,2,failure,Yes,0.02,No,No,No
39,23,services,single,tertiary,no,363,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.425,No,Yes,Yes
40,38,management,single,tertiary,no,11971,yes,no,unspecified,nov,101,3,failure,No,0.53,No,Yes,Yes
41,36,management,single,tertiary,no,553,no,no,cellular,aug,-1,0,unknown_outcome,No,0.14,No,Yes,No
42,52,blue-collar,married,secondary,no,1117,yes,no,cellular,may,-1,0,unknown_outcome,No,0.52,No,Yes,Yes
43,32,technician,married,tertiary,no,396,yes,no,cellular,may,-1,0,unknown_outcome,No,0.035,No,No,No
44,32,technician,single,tertiary,no,2204,yes,no,cellular,nov,-1,0,unknown_outcome,No,0.095,No,No,No
45,34,management,single,tertiary,no,872,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.075,No,No,No
46,55,blue-collar,married,primary,no,145,no,no,telephone,feb,5,2,other,No,0.425,No,Yes,Yes
47,26,blue-collar,married,primary,no,0,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.35,No,Yes,No
48,32,entrepreneur,single,primary,yes,-849,yes,yes,cellular,feb,-1,0,unknown_outcome,No,0.455,No,Yes,Yes
49,61,admin.,married,secondary,no,4629,yes,no,cellular,jan,92,1,success,Yes,0.21,No,Yes,No
50,45,blue-collar,divorced,primary,no,844,no,no,unspecified,jun,-1,0,unknown_outcome,Yes,0.325,No,Yes,No
51,37,technician,single,secondary,no,228,yes,no,cellular,aug,-1,0,unknown_outcome,No,0.105,No,No,No
52,38,technician,single,secondary,no,50,no,no,cellular,aug,-1,0,unknown_outcome,No,0.02,No,No,No
53,34,technician,married,tertiary,no,1539,yes,no,cellular,jun,56,1,other,Yes,0.15,No,Yes,No
54,53,blue-collar,married,secondary,no,2231,yes,no,cellular,jul,-1,0,unknown_outcome,No,0.335,No,Yes,No
55,48,admin.,married,secondary,no,3064,yes,no,telephone,jul,-1,0,unknown_outcome,No,0.125,No,Yes,No
56,57,management,married,secondary,no,82,no,yes,telephone,feb,-1,0,unknown_outcome,No,0.015,No,No,No
57,33,self-employed,single,tertiary,no,2155,no,no,cellular,nov,-1,0,unknown_outcome,No,0.165,No,Yes,No
58,36,retired,single,secondary,no,101,yes,yes,unspecified,may,-1,0,unknown_outcome,No,0.04,No,No,No
59,54,technician,divorced,secondary,no,784,yes,yes,unspecified,may,-1,0,unknown_outcome,No,0.145,No,Yes,No
60,41,blue-collar,married,primary,no,-516,no,yes,telephone,jul,-1,0,unknown_outcome,No,0.005,No,No,No
61,63,retired,married,secondary,no,415,yes,no,cellular,oct,-1,0,unknown_outcome,No,0.49,No,Yes,Yes
62,48,management,married,tertiary,no,5887,no,no,cellular,aug,-1,0,unknown_outcome,No,0.355,No,Yes,No
63,48,services,married,secondary,no,1355,no,no,cellular,jul,-1,0,unknown_outcome,No,0.61,No,Yes,Yes
64,56,admin.,married,secondary,no,16873,no,no,cellular,oct,-1,0,unknown_outcome,No,0.085,No,No,No
65,51,blue-collar,divorced,secondary,no,203,yes,no,cellular,may,170,5,failure,No,0.745,Yes,Yes,Yes
66,31,services,married,secondary,no,338,yes,no,cellular,jan,-1,0,unknown_outcome,No,0.08,No,No,No
67,29,technician,married,secondary,no,444,yes,no,cellular,jul,-1,0,unknown_outcome,No,0.055,No,No,No
68,41,management,married,secondary,no,0,no,yes,cellular,jul,-1,0,unknown_outcome,No,0.455,No,Yes,Yes
69,32,technician,single,tertiary,no,360,no,no,cellular,nov,-1,0,unknown_outcome,No,0.215,No,Yes,No
70,37,management,married,tertiary,no,0,no,no,cellular,jul,182,3,success,Yes,0.06,No,No,No
71,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.93,Yes,Yes,Yes
72,31,management,single,tertiary,no,6248,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.8,Yes,Yes,Yes
73,41,services,married,tertiary,no,412,yes,no,unspecified,jun,-1,0,unknown_outcome,No,0.635,No,Yes,Yes
74,56,retired,married,secondary,no,344,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.02,No,No,No
75,54,management,divorced,tertiary,no,3222,no,no,cellular,aug,-1,0,unknown_outcome,No,0.195,No,Yes,No
76,41,blue-collar,divorced,secondary,no,174,yes,no,cellular,may,297,1,other,No,0.16,No,Yes,No
77,40,technician,single,secondary,no,591,no,yes,cellular,aug,-1,0,unknown_outcome,No,0.125,No,Yes,No
78,50,blue-collar,divorced,primary,no,388,no,no,cellular,feb,-1,0,unknown_outcome,No,0.05,No,No,No
79,40,unemployed,married,secondary,no,219,yes,no,cellular,nov,196,1,failure,No,0.025,No,No,No
80,27,admin.,divorced,secondary,no,451,yes,no,cellular,jul,-1,0,unknown_outcome,Yes,0.02,No,No,No
81,60,retired,married,primary,no,5,no,no,cellular,aug,-1,0,unknown_outcome,No,0.055,No,No,No
82,28,admin.,single,secondary,no,177,yes,yes,cellular,may,-1,0,unknown_outcome,No,0.5,No,Yes,Yes
83,52,services,married,secondary,no,657,no,no,telephone,jul,460,2,failure,Yes,0.69,No,Yes,Yes
84,37,management,married,tertiary,no,1315,no,no,cellular,jun,-1,0,unknown_outcome,Yes,0.125,No,Yes,No
85,51,blue-collar,married,primary,no,1466,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.06,No,No,No
86,41,technician,single,secondary,no,879,no,yes,cellular,jul,-1,0,unknown_outcome,No,0.145,No,Yes,No
87,35,blue-collar,single,primary,no,293,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.675,No,Yes,Yes
88,38,admin.,married,secondary,no,424,yes,no,cellular,apr,-1,0,unknown_outcome,No,0.075,No,No,No
89,34,blue-collar,married,secondary,no,1831,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.125,No,Yes,No
90,39,blue-collar,married,primary,no,111,no,no,cellular,nov,-1,0,unknown_outcome,No,0.05,No,No,No
91,34,blue-collar,married,primary,no,455,yes,no,unspecified,jun,-1,0,unknown_outcome,No,0.155,No,Yes,No
92,27,services,single,secondary,no,-195,yes,no,cellular,may,-1,0,unknown_outcome,Yes,0.075,No,No,No
93,32,management,single,tertiary,no,3616,no,no,cellular,aug,-1,0,unknown_outcome,No,0.235,No,Yes,No
94,57,blue-collar,married,secondary,no,14093,no,no,cellular,aug,-1,0,unknown_outcome,No,0.02,No,No,No
95,41,management,single,tertiary,no,1567,no,no,cellular,jul,-1,0,unknown_outcome,No,0.02,No,No,No
96,41,admin.,married,tertiary,no,5426,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.61,No,Yes,Yes
97,30,admin.,single,tertiary,no,261,no,no,cellular,oct,137,20,failure,No,0.095,No,No,No
98,36,blue-collar,divorced,secondary,no,2843,no,no,cellular,feb,182,1,success,No,0.44,No,Yes,Yes
99,31,unemployed,single,primary,no,406,no,no,cellular,feb,-1,0,unknown_outcome,Yes,0.035,No,No,No
100,36,blue-collar,married,secondary,no,0,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.055,No,No,No
101,38,management,single,tertiary,no,493,yes,no,cellular,may,367,7,failure,No,0.045,No,No,No
102,49,technician,married,secondary,no,5996,no,no,telephone,nov,-1,0,unknown_outcome,No,0.005,No,No,No
103,57,services,single,primary,no,3777,yes,no,telephone,may,-1,0,unknown_outcome,No,0.015,No,No,No
104,34,management,single,secondary,no,524,no,no,unspecified,aug,-1,0,unknown_outcome,No,0.085,No,No,No
105,32,management,single,tertiary,no,574,yes,no,cellular,apr,145,3,failure,No,0.04,No,No,No
106,37,blue-collar,married,secondary,no,427,yes,yes,unspecified,jun,-1,0,unknown_outcome,No,0.115,No,No,No
107,33,self-employed,married,tertiary,no,483,yes,no,cellular,feb,-1,0,unknown_outcome,No,0.185,No,Yes,No
108,56,unemployed,married,primary,no,3391,no,no,cellular,apr,-1,0,unknown_outcome,Yes,0.465,No,Yes,Yes
109,27,housemaid,married,primary,no,0,yes,no,cellular,jul,-1,0,unknown_outcome,No,0.02,No,No,No
110,21,student,single,secondary,no,2488,no,no,cellular,jun,169,3,success,Yes,0.11,No,No,No
111,58,management,married,tertiary,no,1517,yes,no,telephone,jul,-1,0,unknown_outcome,No,0.86,Yes,Yes,Yes
112,32,self-employed,married,secondary,no,217,yes,yes,cellular,jul,-1,0,unknown_outcome,No,0.88,Yes,Yes,Yes
113,33,blue-collar,single,secondary,no,22,no,no,cellular,jan,207,1,failure,No,0.455,No,Yes,Yes
114,25,student,single,secondary,no,331,no,no,telephone,aug,-1,0,unknown_outcome,Yes,0.165,No,Yes,No
115,25,technician,single,secondary,no,505,no,yes,cellular,nov,-1,0,unknown_outcome,Yes,0.02,No,No,No
116,30,services,married,secondary,no,1808,yes,no,cellular,may,-1,0,unknown_outcome,No,0.12,No,Yes,No
117,22,admin.,single,secondary,no,4111,no,yes,cellular,aug,-1,0,unknown_outcome,No,0.135,No,Yes,No
118,39,blue-collar,married,primary,no,52,no,no,cellular,aug,-1,0,unknown_outcome,No,0.175,No,Yes,No
119,46,management,divorced,tertiary,no,25,no,no,unspecified,jun,-1,0,unknown_outcome,No,0.36,No,Yes,No
120,31,admin.,divorced,secondary,no,1890,yes,no,cellular,jul,-1,0,unknown_outcome,No,0.25,No,Yes,No
121,45,blue-collar,married,primary,no,419,no,no,cellular,aug,-1,0,unknown_outcome,No,0.15,No,Yes,No
122,32,technician,married,secondary,no,2693,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.3,No,Yes,No
123,36,blue-collar,married,secondary,no,-231,no,yes,cellular,jul,-1,0,unknown_outcome,No,0.49,No,Yes,Yes
124,51,management,single,tertiary,yes,-55,yes,no,cellular,may,266,6,failure,No,0.025,No,No,No
125,34,self-employed,single,tertiary,no,462,no,no,cellular,aug,-1,0,unknown_outcome,Yes,0.06,No,No,No
126,24,unemployed,single,secondary,no,119,no,no,unspecified,sep,-1,0,unknown_outcome,No,0.05,No,No,No
127,45,technician,single,secondary,no,586,no,yes,cellular,jul,-1,0,unknown_outcome,No,0.145,No,Yes,No
128,32,blue-collar,single,secondary,no,228,no,no,telephone,feb,288,3,failure,No,0.035,No,No,No
129,77,retired,divorced,tertiary,no,4659,no,no,cellular,apr,-1,0,unknown_outcome,Yes,0.175,No,Yes,No
130,41,blue-collar,married,primary,no,168,yes,no,cellular,nov,-1,0,unknown_outcome,No,0.08,No,No,No
131,37,blue-collar,married,primary,no,0,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.275,No,Yes,No
132,43,blue-collar,married,secondary,yes,-715,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.32,No,Yes,No
133,48,admin.,married,secondary,no,0,yes,no,cellular,may,168,2,failure,No,0.015,No,No,No
134,27,technician,single,secondary,no,769,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.34,No,Yes,No
135,33,management,single,tertiary,no,0,no,no,cellular,aug,-1,0,unknown_outcome,No,0.67,No,Yes,Yes
136,29,admin.,single,secondary,no,428,yes,yes,cellular,may,345,2,failure,No,0.13,No,Yes,No
137,34,management,single,tertiary,no,0,no,no,cellular,feb,-1,0,unknown_outcome,No,0.01,No,No,No
138,52,management,married,tertiary,no,-970,yes,no,cellular,feb,-1,0,unknown_outcome,Yes,0.36,No,Yes,No
139,60,management,married,tertiary,no,6313,no,no,unspecified,jun,-1,0,unknown_outcome,No,0.17,No,Yes,No
140,32,management,divorced,tertiary,no,948,no,no,cellular,aug,-1,0,unknown_outcome,No,0.12,No,Yes,No
141,32,management,single,tertiary,no,0,yes,no,cellular,jul,-1,0,unknown_outcome,No,0.585,No,Yes,Yes
142,56,services,divorced,secondary,no,1877,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.39,No,Yes,No
143,31,management,single,tertiary,no,874,yes,no,cellular,nov,-1,0,unknown_outcome,No,0.625,No,Yes,Yes
144,42,admin.,married,secondary,no,323,yes,yes,unspecified,may,-1,0,unknown_outcome,No,0.245,No,Yes,No
145,35,management,married,tertiary,no,106,no,yes,cellular,aug,-1,0,unknown_outcome,No,0.01,No,No,No
146,56,retired,married,primary,no,1906,no,yes,unspecified,jun,-1,0,unknown_outcome,No,0.56,No,Yes,Yes
147,48,technician,married,secondary,no,1152,yes,no,cellular,jul,-1,0,unknown_outcome,No,0.015,No,No,No
148,46,admin.,married,secondary,no,179,yes,no,cellular,jan,436,1,other,No,0.015,No,No,No
149,37,technician,single,secondary,no,391,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.205,No,Yes,No
150,41,entrepreneur,married,tertiary,no,89,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.13,No,Yes,No
151,36,management,single,tertiary,no,442,yes,yes,cellular,jul,-1,0,unknown_outcome,No,0.3,No,Yes,No
152,45,unemployed,divorced,primary,yes,-249,yes,yes,unspecified,jul,-1,0,unknown_outcome,No,0.65,No,Yes,Yes
153,55,entrepreneur,married,secondary,no,8104,no,no,cellular,feb,-1,0,unknown_outcome,No,0.06,No,No,No
154,39,technician,married,secondary,no,501,no,no,unspecified,may,-1,0,unknown_outcome,No,0.2,No,Yes,No
155,35,technician,divorced,secondary,no,308,no,no,cellular,aug,-1,0,unknown_outcome,No,0.685,No,Yes,Yes
156,55,admin.,married,secondary,no,602,no,no,cellular,jun,90,2,success,Yes,0.095,No,No,No
157,55,technician,married,secondary,no,273,yes,no,cellular,jan,183,3,failure,No,0.035,No,No,No
158,27,self-employed,single,secondary,no,50,no,no,cellular,jan,-1,0,unknown_outcome,No,0.115,No,No,No
159,34,technician,married,secondary,no,1641,yes,no,cellular,apr,-1,0,unknown_outcome,No,0.635,No,Yes,Yes
160,34,blue-collar,married,tertiary,no,20,no,no,unspecified,oct,-1,0,unknown_outcome,No,0.945,Yes,Yes,Yes
161,25,admin.,single,secondary,no,4590,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.065,No,No,No
162,41,admin.,single,secondary,no,-256,no,yes,unspecified,may,-1,0,unknown_outcome,No,0.08,No,No,No
163,43,services,married,secondary,no,978,yes,yes,unspecified,may,-1,0,unknown_outcome,No,0.125,No,Yes,No
164,28,management,single,tertiary,no,80,no,no,cellular,oct,146,2,failure,Yes,0.12,No,Yes,No
165,31,admin.,single,secondary,no,2104,yes,no,unspecified,jun,-1,0,unknown_outcome,No,0.645,No,Yes,Yes
166,78,housemaid,married,secondary,no,499,no,no,telephone,mar,-1,0,unknown_outcome,No,0.345,No,Yes,No
167,45,blue-collar,divorced,secondary,no,1269,yes,no,cellular,jan,-1,0,unknown_outcome,No,0.59,No,Yes,Yes
168,48,technician,married,tertiary,no,310,no,no,unspecified,may,-1,0,unknown_outcome,No,0.215,No,Yes,No
169,32,blue-collar,single,secondary,no,1143,yes,yes,cellular,jul,-1,0,unknown_outcome,No,0.155,No,Yes,No
170,42,technician,married,secondary,no,2980,no,no,unspecified,jun,-1,0,unknown_outcome,No,0.095,No,No,No
171,37,management,single,tertiary,no,37,no,no,cellular,jan,-1,0,unknown_outcome,No,0.125,No,Yes,No
172,40,admin.,single,secondary,no,462,yes,yes,cellular,apr,335,4,other,No,0.32,No,Yes,No
173,32,admin.,married,secondary,no,1031,yes,no,cellular,jul,-1,0,unknown_outcome,No,0.535,No,Yes,Yes
174,42,management,married,tertiary,no,9009,no,no,cellular,nov,-1,0,unknown_outcome,No,0.105,No,No,No
175,43,admin.,married,secondary,no,-465,yes,yes,cellular,jul,-1,0,unknown_outcome,No,0.19,No,Yes,No
176,44,admin.,married,secondary,no,5181,yes,yes,cellular,jul,-1,0,unknown_outcome,No,0.73,No,Yes,Yes
177,37,admin.,married,secondary,no,176,yes,no,cellular,may,347,1,failure,No,0.115,No,No,No
178,37,management,married,tertiary,no,1699,no,no,unspecified,jun,-1,0,unknown_outcome,No,0.255,No,Yes,No
179,37,admin.,married,tertiary,no,0,yes,no,cellular,nov,119,1,failure,No,0.055,No,No,No
180,28,technician,single,tertiary,no,172,yes,yes,cellular,feb,-1,0,unknown_outcome,No,0.02,No,No,No
181,32,services,single,secondary,no,0,no,yes,cellular,jul,-1,0,unknown_outcome,No,0.185,No,Yes,No
182,34,admin.,single,secondary,no,6979,yes,no,cellular,may,-1,0,unknown_outcome,No,0.01,No,No,No
183,40,admin.,divorced,secondary,no,6,no,no,unspecified,jun,-1,0,unknown_outcome,No,0.03,No,No,No
184,34,services,married,secondary,no,-62,yes,no,unspecified,jun,-1,0,unknown_outcome,No,0.92,Yes,Yes,Yes
185,34,self-employed,married,tertiary,no,1972,yes,no,cellular,jul,-1,0,unknown_outcome,No,0.07,No,No,No
186,34,admin.,married,tertiary,no,899,yes,no,telephone,nov,7,4,success,No,0.1,No,No,No
187,37,services,single,secondary,no,21,yes,no,cellular,feb,271,2,other,No,0.015,No,No,No
188,36,technician,married,secondary,no,23,yes,no,cellular,may,347,1,failure,No,0.105,No,No,No
189,56,retired,married,secondary,no,-1206,yes,no,cellular,jun,-1,0,unknown_outcome,Yes,0.1,No,No,No
190,49,blue-collar,married,primary,no,0,yes,yes,telephone,jul,-1,0,unknown_outcome,No,0.65,No,Yes,Yes
191,33,self-employed,married,secondary,no,215,yes,no,cellular,jul,-1,0,unknown_outcome,No,0.055,No,No,No
192,30,management,single,tertiary,no,1372,no,no,cellular,nov,-1,0,unknown_outcome,No,0.045,No,No,No
193,36,services,married,secondary,no,1981,no,no,unspecified,jun,-1,0,unknown_outcome,No,0.03,No,No,No
194,23,student,single,secondary,no,9216,no,no,cellular,jun,-1,0,unknown_outcome,No,0.155,No,Yes,No
195,57,retired,divorced,secondary,no,39,yes,no,cellular,jul,-1,0,unknown_outcome,No,0.06,No,No,No
196,27,blue-collar,single,secondary,no,5563,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.02,No,No,No
197,38,services,married,secondary,no,1,no,yes,cellular,nov,-1,0,unknown_outcome,No,0.045,No,No,No
198,42,technician,married,tertiary,no,782,no,no,cellular,apr,-1,0,unknown_outcome,No,0.145,No,Yes,No
199,75,retired,married,secondary,no,3771,no,no,telephone,apr,181,2,success,Yes,0.05,No,No,No
200,34,technician,single,tertiary,no,992,yes,no,cellular,may,88,2,success,No,0.07,No,No,No
201,48,technician,married,secondary,no,1526,no,no,cellular,aug,-1,0,unknown_outcome,No,0.07,No,No,No
202,35,technician,single,tertiary,no,2658,yes,no,cellular,aug,141,3,failure,Yes,0.07,No,No,No
203,39,management,divorced,tertiary,no,1315,yes,no,cellular,nov,126,1,failure,No,0.075,No,No,No
204,29,blue-collar,single,tertiary,no,455,no,no,telephone,apr,-1,0,unknown_outcome,Yes,0.005,No,No,No
205,45,technician,single,tertiary,no,0,yes,no,cellular,nov,-1,0,unknown_outcome,No,0.045,No,No,No
206,42,technician,married,secondary,no,2030,yes,yes,cellular,jul,-1,0,unknown_outcome,No,0.065,No,No,No
207,29,technician,married,secondary,no,1599,yes,no,cellular,jul,61,1,failure,No,0.09,No,No,No
208,38,services,single,secondary,no,-196,yes,no,cellular,feb,271,1,failure,No,0.03,No,No,No
209,56,retired,married,secondary,no,1333,no,no,cellular,aug,-1,0,unknown_outcome,No,0.17,No,Yes,No
210,36,technician,single,secondary,no,9149,yes,no,cellular,aug,-1,0,unknown_outcome,No,0.35,No,Yes,No
211,25,blue-collar,single,secondary,no,-350,yes,no,unspecified,jun,-1,0,unknown_outcome,No,0.08,No,No,No
212,38,technician,married,tertiary,no,432,yes,no,cellular,may,373,1,other,No,0.49,No,Yes,Yes
213,57,self-employed,married,secondary,no,11494,no,no,cellular,nov,-1,0,unknown_outcome,No,0.175,No,Yes,No
214,31,management,married,tertiary,yes,-253,no,no,cellular,aug,-1,0,unknown_outcome,No,0.045,No,No,No
215,42,management,married,tertiary,no,372,yes,no,cellular,aug,-1,0,unknown_outcome,Yes,0.045,No,No,No
216,45,technician,married,secondary,no,1410,no,no,cellular,aug,-1,0,unknown_outcome,No,0.025,No,No,No
217,30,blue-collar,married,secondary,no,975,yes,no,cellular,may,351,2,failure,No,0.24,No,Yes,No
218,49,blue-collar,married,primary,no,305,yes,yes,telephone,jul,-1,0,unknown_outcome,No,0.18,No,Yes,No
219,49,services,married,secondary,no,400,no,no,cellular,aug,-1,0,unknown_outcome,No,0.04,No,No,No
220,53,retired,married,tertiary,no,-22,yes,no,cellular,jul,-1,0,unknown_outcome,No,0.015,No,No,No
221,37,technician,married,secondary,no,4030,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.11,No,No,No
222,49,blue-collar,married,primary,no,365,no,no,unspecified,may,-1,0,unknown_outcome,No,0.025,No,No,No
223,41,self-employed,married,primary,no,204,no,no,cellular,aug,-1,0,unknown_outcome,No,0.12,No,Yes,No
224,54,management,married,primary,no,1691,yes,no,cellular,nov,-1,0,unknown_outcome,No,0.145,No,Yes,No
225,32,services,single,secondary,no,406,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.3,No,Yes,No
